leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,puuid
61279367-76f2-34fe-aa72-386a19a90053,RANKED_SOLO_5x5,CHALLENGER,I,dsD_o3uY8fyrCHw113kvfbYAhfwt0lEZ_5gcz44HtHMBuBA,curse 4real,1010,110,85,False,False,True,False,88PY37FYeQqizQm1VqDpLtk7hoD0-59FS4W2ikpz3Qv4YF0VAIXxHPNR5YIjzoX5wD7dAx2NPaL5fw
61279367-76f2-34fe-aa72-386a19a90053,RANKED_SOLO_5x5,CHALLENGER,I,G5N7NMtRX2wdz1_IlWcXat7nCLmRB60LXUfrIVo2eVmK7ss,Niaeroula,1009,168,137,False,False,False,True,ApBHBY6DKH9NYlog-y8oHSNss-yHthodwAXdvCkdq1T5kykA19Sohyl07U-4dgZNA-OkYWWLL0e3dw
61279367-76f2-34fe-aa72-386a19a90053,RANKED_SOLO_5x5,CHALLENGER,I,JlmEYtJoEVwjjpx5LKvOVIftNbZ-d7ufeN6u8ii3Sc0yt8k,neuralplasticity,1008,152,122,False,False,True,True,R6e__5ZcFrDlMPMcJoAXULThVnm1wvQwQL6505--3rs0iXhh3t7XXEXWuq2XnHeDybr5bg8nP9etiQ
61279367-76f2-34fe-aa72-386a19a90053,RANKED_SOLO_5x5,CHALLENGER,I,WOON5GLipZCphs6ZkdJZ6j0iDSrh42eHkgguP0TtV1kM5SUIgzUGDr1IdQ,Dear Theo,1007,106,81,False,False,False,False,4ItiYp108TppxioVx1d6tOmzeD3y_2WUnpBsUTHG0ekij8asdg3E8vWKAd_8j3loysf27MXoascTvQ
61279367-76f2-34fe-aa72-386a19a90053,RANKED_SOLO_5x5,CHALLENGER,I,_rvbdQCvm07ZCZ3OikKd4p2PsrrOelA3SJZM0VdaoWtYKkJkNeeNyYcr1g,Lyaide,1006,345,307,False,False,True,True,Fmt1m2sRBYa1v3498nmPDE8bS5xQZjT_BycdXAMt8C2HsTOvCJXjORm51lQZ38HOf9yI7FOZBeVYDA
61279367-76f2-34fe-aa72-386a19a90053,RANKED_SOLO_5x5,CHALLENGER,I,IMBazIWnG1NzybVwyWY_dQA8-QWTqsgV2M7R_eUUS1CLwA,É O CECEU,1005,181,109,False,False,True,True,JeNbss2D7bnsTXdezVQhgQxg-8fxV7O0WJNHmX7r2h9qYc2uWQliJFyZy1Tbaysr71yud0HWJNwWfw
61279367-76f2-34fe-aa72-386a19a90053,RANKED_SOLO_5x5,CHALLENGER,I,pqKXu2MWbHmIjmLrQ2X6WD6y8tB0wYYI-IzQ6_3hv6Qv_uqinFmv7IAu8g,BEENI3,1003,221,192,False,False,True,False,AZMAbLBX7oORAa3XOAkM1JvzkrJSvwzlKgeSGzqDsmFD0fLO9tpL2Eevn_HD8JFRTEfwPccCwoGOKQ
61279367-76f2-34fe-aa72-386a19a90053,RANKED_SOLO_5x5,CHALLENGER,I,jPHMzUTSIBWc4uJqUFJMOtlXPMGd7k1ycUFGD9Fnyw3-Zco,RIV kshhh,1003,179,139,False,False,True,False,12o5IqSJKalv_BXfvqgsmEWB1uSzuTBBL7gXDvJuDbq8ID00CoOyXndzWp4IxAQyo3zB2GZl7f9YnA
61279367-76f2-34fe-aa72-386a19a90053,RANKED_SOLO_5x5,CHALLENGER,I,3l-4NutUx5F4KA50MUSdDp65dXKVDVNl9vl1HRQv2BunPvNdBAMqtjRmeg,gymlolsleep,997,355,321,True,False,False,False,a7BEmA9_wvfLF32F_i6moxXdOlUX3boZdGcpjQx4QQxpqGywC6bDjEsNzeOulAqKQEWx2V2llu5IFg
61279367-76f2-34fe-aa72-386a19a90053,RANKED_SOLO_5x5,CHALLENGER,I,_qdf46AM2S3Owg1FsDbhOYcbZnRnz3WbYb_l5vXqDCLPJYw,valkyrus,987,71,33,False,False,True,False,mGOwWtwk-r1CJcrQ6bwa_GIA0PydUjFAjeyX5B40jl0NvOfvfWiECzI7rxOfMMbE7B8F89R2hVlqQA
61279367-76f2-34fe-aa72-386a19a90053,RANKED_SOLO_5x5,CHALLENGER,I,SgOLjGJzputJuQJ0hZJF_QNIobQPDOP_FMRQ_ZtQkGn8Vw,NF HAPPY,984,293,266,False,False,True,False,kqrV44efLyFFL7XZi3AOMLGT5yS0b8FoYswy_BN0v28C6JzFmmIOVeOSMTMRLROLfdMrwtebGTIH0g
61279367-76f2-34fe-aa72-386a19a90053,RANKED_SOLO_5x5,CHALLENGER,I,klB5fPIKmNwQfKLdmrNEh9I2Sgng6QyU3_3_5fr8CO6Epw5LNy35x09Sdw,Meito,982,236,194,False,False,True,False,fN9VuiJbrCLq_AQrlc8Q_FSk-If1P1KMxvRtigNanqlaibQLM24-85MUtG6IcvToCZwYsuQTDmSOzQ
61279367-76f2-34fe-aa72-386a19a90053,RANKED_SOLO_5x5,CHALLENGER,I,ItMcstpgOlsks9-JBIKNJamCafMMLuU2m1kW98Tv9oZpyY0,VAI PORCO,980,96,61,False,False,True,False,cIJn3l_4NJrMztule1cRZG-QAzR9A9yJrJMmvmnAbHPiTjI55Djj2sJQa75zB1BBHdqdQZ83o2QrAw
61279367-76f2-34fe-aa72-386a19a90053,RANKED_SOLO_5x5,CHALLENGER,I,5Hwq5zJt_JUfV2DPKgOZFCENNEaGtNzkjIIQiWehOniP,Shoiti,978,196,174,False,False,True,False,FB-YFeIoMSclKjwTyqHI-u6XThkDh53RAEghO-vZJWKboe5QNF1h5CjR12Y95IVrtTMxVOsxMFVpAA
61279367-76f2-34fe-aa72-386a19a90053,RANKED_SOLO_5x5,CHALLENGER,I,0ilEQbRkc39IKwzz-ndatHe8_IQgzIhPpTfhbpsPIys1gA,LSADSDD,969,574,549,False,False,True,False,iUbXvWFcg3khoXO85YGJ-nNCJlkPeBTACGdruphPBk5lf3KrvWDlF9gGqboARZddg7KxjSX8voibKw
61279367-76f2-34fe-aa72-386a19a90053,RANKED_SOLO_5x5,CHALLENGER,I,kb8WmotjjxNrAHyjUxXhBfQUcYWF5wypIxz_b0Wo6hC4cg,Ezrealíty,961,138,106,False,False,False,False,P8aV1d3ySips2_5fX-9HEMRg3ot6n3avh4En-Rhbwcwu15bn2DRM2ALjVfYx5u6_PbYl8VgperLUYw
61279367-76f2-34fe-aa72-386a19a90053,RANKED_SOLO_5x5,CHALLENGER,I,bcl4knEVu7d165JveXVcr0JAgHlIad5PtXNLA-IvVmr7Uw,Klaus,946,169,149,False,False,True,False,YFyuLjRNhgGvT8ZeMq9TWw3KY30tkh1AiBCqTKJHcYg829uC6DQbOqKeHCRSo9Scp4PLjJ56j1WxAw
61279367-76f2-34fe-aa72-386a19a90053,RANKED_SOLO_5x5,CHALLENGER,I,7Inq4pe6O8uysCJhTq4tWeZtd-rxxMJkap7Q1_XHbPfdxw,KTCHORO O WUKONG,930,119,90,True,False,False,False,clVF_4zjA3nbnyO5zATIeOkNGF241AQ8MQKCeY5C_6OoVZIyC2fDJ_wlaoGyL9jiuBeQ0tqdIZYVJg
61279367-76f2-34fe-aa72-386a19a90053,RANKED_SOLO_5x5,CHALLENGER,I,VAPiHxsHG6DI5H0sGOGFyaaJ4DJpWszrvYi7-uIAZmWtzKI,GraftonFarmhouse,915,365,333,False,False,True,False,U5doxz8pyyoGBxj-8wXRkClo5HyD5384weL94mOjTw464ylcZDDaKUMFfcfms-Gc8nhjaSMeHLpvfA
